Player,Position,NFL Team,Pre-Season Rank,Actual Rank,Rostered %,Bye,Roster Status,Yahoo Player ID
E.J. Warner,QB,Den,2853,2853,0%,10,FA,43402
Jarrett Stidham,QB,Den,2854,2854,0%,10,FA,31965
Skylar Thompson,QB,Bal,2855,2855,0%,13,FA,34203
Cam Miller,QB,Mia,2856,2856,0%,6,FA,41964
Jalon Daniels,QB,TB,2857,2857,0%,10,FA,42919
Kyron Drones,QB,GB,2858,2858,0%,11,FA,42900
Nathan Peterman,QB,Atl,2859,2859,0%,11,FA,30284
Seth Henigan,QB,Ind,2860,2860,0%,13,FA,42205
Kaidon Salter,QB,Ten,2861,2861,0%,9,FA,42982
Connor Bazelak,QB,TB,2862,2862,0%,10,FA,42084
Julius Chestnut,RB,Ten,2863,2863,0%,9,FA,34451
Brady Cook,QB,Mia,2864,2864,0%,6,FA,42229
Reggie Gilliam,RB,NE,2865,2865,0%,11,FA,33357
Travis Homer,RB,Pit,2866,2866,0%,9,FA,32036
Dylan Laube,RB,LV,2867,2867,1%,13,FA,41054
Desmond Ridder,QB,GB,2868,2868,0%,11,FA,34030
Riley Leonard,QB,Ind,2869,2869,0%,13,FA,41968
Mitchell Trubisky,QB,Ten,2870,2870,0%,9,FA,30115
Jake Haener,QB,NYG,2871,2871,0%,8,FA,40144
Josh Johnson,QB,Cin,2872,2872,0%,6,FA,8937
Tyson Bagent,QB,Chi,2873,2873,0%,10,FA,40504
Clayton Tune,QB,GB,2874,2874,0%,11,FA,40188
Mason Rudolph,QB,Pit,2875,2875,0%,9,FA,31046
Tanner McKee,QB,Phi,2876,2876,0%,10,FA,40220
Andy Dalton,QB,Phi,2877,2877,0%,10,FA,24822
Joe Milton III,QB,Dal,2878,2878,0%,14,FA,41060
Trey Lance,QB,LAC,2879,2879,0%,7,FA,33391
Cooper Rush,QB,Atl,2880,2880,0%,11,FA,30788
Max Brosmer,QB,Min,2881,2881,0%,6,FA,42075
Kenny Pickett,QB,Car,2882,2882,0%,5,FA,33975
Gardner Minshew II,QB,Ari,2883,2883,0%,14,FA,32010
Joshua Dobbs,QB,Det,2884,2884,0%,6,FA,30248
Zach Wilson,QB,NO,2885,2885,0%,8,FA,33390
Jimmy Garoppolo,QB,LAR,2886,2886,0%,11,FA,27590
Nick Mullens,QB,Jax,2888,2888,0%,7,FA,30563
