Player,Position,NFL Team,Pre-Season Rank,Actual Rank,Rostered %,Bye,Roster Status,Yahoo Player ID
Bryson Nesbit,TE,Min,2177,2177,0%,6,FA,42266
Tanner Koziol,TE,Jax,2178,2178,0%,7,FA,42797
Rivaldo Fairweather,TE,Ari,2179,2179,0%,14,FA,42153
Travis Vokolek,TE,Ari,2180,2180,0%,14,FA,40643
Dallen Bentley,TE,Den,2181,2181,0%,10,FA,42878
James Mitchell,TE,Dal,2182,2182,0%,14,FA,34133
Nate Boerkircher,TE,Jax,2183,2183,0%,7,FA,42678
Matt Lauter,TE,Min,2184,2184,0%,6,FA,43130
Tyree Jackson,TE,Was,2185,2185,0%,7,FA,32415
Michael Trigg,TE,Dal,2186,2186,0%,14,FA,42887
Caden Prieskorn,TE,Car,2187,2187,0%,5,FA,42243
Khalil Dinkins,TE,SF,2188,2188,0%,8,FA,42972
Joshua Simon,TE,Was,2189,2189,0%,7,FA,42186
DeShawn Hanika,TE,Ind,2190,2190,0%,13,FA,43239
Zaire Mitchell-Paden,TE,Hou,2191,2191,0%,8,FA,34489
Joel Wilson,TE,Ten,2192,2192,0%,9,FA,40346
Stone Eby,TE,Den,2193,2193,0%,10,FA,43391
Brandon Frazier,TE,Atl,2194,2194,0%,11,FA,43379
Baylor Cupp,TE,Ari,2195,2195,0%,14,FA,41556
Hayden Rucci,TE,Jax,2196,2196,0%,7,FA,41692
Luke Lachey,TE,Hou,2197,2197,0%,8,FA,42041
McCallan Castles,TE,GB,2198,2198,0%,11,FA,41373
Keleki Latu,TE,Buf,2199,2199,0%,7,FA,42063
Nick Kallerup,TE,Sea,2200,2200,0%,11,FA,42465
Tre' McKitty,TE,Was,2201,2201,0%,7,FA,33485
Nick Muse,TE,Atl,2202,2202,0%,11,FA,34183
Brett Weaver,TE,Den,2203,2203,0%,10,FA,43412
Max Klare,TE,LAR,2204,2204,0%,11,FA,42683
Kenny Fletcher Jr.,TE,TB,2205,2205,0%,10,FA,43357
Zack Kuntz,TE,Dal,2206,2206,0%,14,FA,40255
Jaren Kanak,TE,Ten,2207,2207,0%,9,FA,42847
Chase Curtis,TE,NYJ,2208,2208,0%,13,FA,43164
Jerand Bradley,TE,LAC,2209,2209,0%,7,FA,42936
Hayden Large,TE,Chi,2210,2210,0%,10,FA,43027
Jake Briningstool,TE,KC,2211,2211,0%,5,FA,42117
Louis Hansen,TE,Hou,2212,2212,0%,8,FA,43457
Ty Pezza,TE,Bal,2213,2213,0%,13,FA,43002
Miles Kitselman,TE,Det,2214,2214,0%,6,FA,43082
Marshall Lang,TE,Min,2215,2215,0%,6,FA,42353
Thomas Gordon,TE,Det,2216,2216,0%,6,FA,42571
Dan Villari,TE,LAR,2217,2217,0%,11,FA,43138
Drake Dabney,TE,GB,2218,2218,0%,11,FA,42523
Drew Biber,TE,Cle,2219,2219,0%,11,FA,43470
Josh Kattus,TE,Cin,2220,2220,0%,6,FA,43058
Lake McRee,TE,Pit,2221,2221,0%,9,FA,43036
Patrick Herbert,TE,LAC,2222,2222,0%,7,FA,42204
Jameson Geers,TE,Ari,2223,2223,0%,14,FA,43212
Jack Endries,TE,Cin,2224,2224,0%,6,FA,42843
Shawn Bowman,TE,Ari,2225,2225,0%,14,FA,41512
Zach Horton,TE,Det,2226,2226,0%,6,FA,42420
